Date,Author,Body,Heading,Rating,Location
2022-09-30,Isabelle,I can't transfer my old chats without scanning a QR on my old phone. Problem is the camera of my old phone doesn't work and the only answer I got from their support was one by a chatbot that didn't respond to my actual problem. So please if there is any other way of transferring my chats without having to scan this QR code I'd be happy to hear from signal by a real person.,only a chatbot for support is not even close to enough,1,DE
2022-05-26,David,The most secure instant messenger in the world. Recommended! :),The most secure instant messenger in the world. Recommended! :),5,GB
2023-08-05,Sugarcube,"Signal has now become my favorite encrypted messaging app for its simplicity and directness without all the annoying, over-the-top, and ultimately futile features that other encrypted messaging apps (e.g., Telegram and WhatsApp) has.

Even though I only communicate with three people on the app, I grew fond of their service and have started donating whenever I can.","One of the best alternatives to Telegram, especially for those that dislike Telegram.",5,US
2020-08-16,Sungdarong,Great app with the strongest security for its users,Great app with the strongest security…,5,US
2022-02-10,Marius B,Having an open source code which was audited already by multiple entities and professional people that work in this domain gives you the security that a message delivered will be read by the person intended only.,The best option to securely chat with everyone.,5,GB
2023-07-23,Will Hoskings,"Cool app!  I regularly use it to talk to my friends.
Personally, I'd much prefer it over Discord, Teams, et. al. as it's much more secure with its end-to-end encryption.

I'll deduct a point for no GIFs on desktop though.  It's been an issue for what... 5 years now, and it's still missing.  My friend is constantly complaining about it, pointing out that GIF support is present on mobile.  I do agree: why hasn't it been implemented already?

(P.S. regarding my quasi feature request: I'm a Signal supporter, which means I give £5/mo to support their cause.  I believe this gives me some grounds to ask for features without being entitled.)",Cool app,4,GB
2022-01-25,KataTonNik ,"This is the email I had with signal customer support : 

me - I can't increase the volume, it's very low. 

Signal -  What happens when you try to use the volume buttons on your phone? What text, images, or behavior do you see on your screen? Is this for voice messages or during audio or video calls?

me - No, the messages sound is fine. It's the ringing for voice calls and video calls. The sound is extremely low.

signal - Got it. Is your overall phone volume adjusted high enough before these calls come in?

me - Yes everything is as high as it can go.

signal - Does this happen with every single contact you call?

me - It's not when I call,it's when they call me, that's when the phone rings right? Your phone doesn't ring when you call others, it rings when others try to call you, since the first phone was invented ...right? Are you sure you are signal support ?",This is the email I had with signal…,1,GB
2021-05-09,Chetan Bhasin,"It's got some catching up to do, but I'm already very, very happy with the service.
Cross-platform application with audio+video call support, the open source software with strong end-to-end encryption and Signal protocol, and surprisingly good audio/video call quality for a company that runs on donations.

The UX could be better, but a designer could tell that it's built for accessibility and not for aesthetics. That doesn't mean the UI couldn't be more pleasing. Signal is still my preferred app, and will remain so, but I hope they keep improving the UI alongside other features.

While Signal still has ways to go, I'm very confident in their ability to build on top of their already excellent product.
Having said that, I'd appreciate an Apple Watch app though. :D",Going Strong,5,DE
2021-02-16,Muzammil,Feature parity with Telegram on the Android and Windows app will be welcome.,Feature parity with Telegram will be welcome,5,AE
2023-09-21,Ilya,"Works ok, but every freaking time I open it on my laptop, it asks for an update, very annoying.",Works ok,3,DE
2023-06-28,MS,"Switched to it because MMS support is dropping but when i discovered Apple Live Photo is not supported and posted in the so called community forum my post got removed 2 times for no apparent reason except that i expressed i want that feature. Also mentioned why this feature is important. 

Not sure what shady stuff is going on there but certainly annoying AF. Feels like somebody is not a fan of Apple or something like that.

EDIT: 
Now my 3rd attempt to post in their community forum got also deleted it was the following: 

""Pleas make this work normally like WhatsApp can do it. People switch to Signal because MMS is getting stopped but then discover you can't send picture with full support is not good."" Deleted by Admin because its inappropriate. Logic much?

Turns out a certain ""Herohtar"" keeps deleting my posts. Apparently ""i got nothing new to say"" ... aehm well - thats like your opinion friend. Imho he seems to work against the best interests of Signal but opinions may differ ;-)",Switched to it because MMS support is…,2,CH
2021-02-07,Lahiru Madushan,Best site & Apps 💛💛💛💙💙💙💚💚💚,Best site & Apps 💛💛💛💙💙💙💚💚💚,5,LK
2023-09-29,Vira Snowden,"The groups dimension to this app facilitates child porn and the Signal Foundation obviously knows that. There are groups that overtly call themselves  'CP...', 'Children' etc., and  the group administrators and others post child porn videos and images on there openly. That is outrageous and there is no way the Signal Foundation could not know this is going on. This SIGNAL app should be banned. If Trustpilot wants to see the evidence I have it. Why hasn't INTERPOL done something about this app?",Child Porn videos openly posted in the Signal groups.,1,NZ
2024-01-16,Chander Whitmire,"I have successfully converted a lot of friends and family from Whatsapp to Signal and I couldn't be happier. Signal is easy, private, free. It has only the features you need and no garbage fluff. My only problem with it is the requiring a phone number. If it wasn't for that, it'd be a full 5 stars.",I have successfully converted a lot of…,4,GB
2023-12-22,TrustPilot user,"Stopped trusting them when they implemented shady, untrusted shitcoin MobiCoin as a sole payment method in the app, to send transactions between users, which doesn't work properly to this day, and MobiCoin cannot be bought anywhere. How can you transfer something if you can't obtain it in the first place? They could have just implemented Bitcoin Lightning payments instead. Bitcoin is most trustworthy currency in the world, but no, they had to design their own shitcoin instead. Uninstalled their app, can't trust greedy CEO and managers.",Stopped trusting them when they…,1,GB
2021-01-24,Mo Best,Good app and good Telegram alternative if it goes banned even i don’t believe this will happen.,Good app and good Telegram alternative…,4,NL
2024-01-28,JB,when you forget your password it’s supershit. There’s no way out of it.,when you forget your password it’s…,1,NL
