Date,Author,Body,Heading,Rating,Location
2022-02-10,Linh Nguyen,Not a good experience so far. the app has a lot of problems and have many creepy people who can freely add me and message me whenever they want.,Not a good experience so far,2,VN
2019-10-18,Daniel,"I use whatsapp most days, well made and easy to use, I chat to most of my friends on it!",Brilliant app,4,GB
2020-08-16,Football HD,"Very very cool application 
It's easy and useful app 
We can post more of stories and talking, chatting , calling with friends
Really it's a fantastic app
But the problem is the quality voice is something bad 
But it's a good app",Very very cool application,5,MA
2022-02-10,Marius B,I have been listened by WhatsApp while speaking with a friend about a certain subject and then saw lots of related ads on Facebook. I never searched the internet about that subject so I'm sure that it didn't came from a cookie policy but from WhatsApp listening to my conversations. I stopped using it and switched to a better service that respects privacy.,Conversations are not actually private.,1,GB
2022-12-31,Sandra,The WhatsApp support is a total pile of crap. They don’t read the responses and do not address the issue. Total waste of time.,The WhatsApp support is a total pile of…,1,AU
2019-06-08,Mai,"Trust Pilot really need to let you give less than 1 star!
Absolutely rubbish app!
Won't let me add a new contact and it seems that the only way to remove anyone from the contacts is to delete them from your phone!
How absolutely stupid is that!
If I wanted to delete contacts from my phone they would be deleted!
Really bloody rubbish!
And people all over the world give them complete access to their phone, contacts and all their details!
You'd think that with all the spying they do on your life they could atleast let you do something as simple as adding and removing contacts!
Or is it because you don't want them removed WhatsApp?
If you can't do it properly then you shouldn't be in that business!!!!
Either fix it for the people or get out!",Absolutely bloody rubbish!,1,GB
2024-05-02,Johann,"Sound on WhatsApp desktop not working, all other apps sound works perfect. Send WhatsApp support an email asking for assistance and just got this reply.....

##- WhatsApp Support -##

Hi,

Thanks for your message.

Unfortunately, this issue is out of the scope of support that WhatsApp can provide.",WhatsApp support is USELESS!!,1,CZ
2023-04-06,michael wilkinson,"Do not like the new look page use to be able to swipe right and reply to specific messages now cannot , let's go back to the way it was before this update .... annoying.",Do not like the new look page,2,GB
2024-04-01,Jamil Hassan,Best app for chatting and video call audio call and for WhatsApp group best social app ,Best app for chatting and video call…,5,PK
2020-12-03,Marino Villa,i communicate with all my friends on whats app and its very fun and nice way,i communicate with all my friends on…,5,IT
2021-06-11,Jonas,Switched to Signal because of their abusive privacy policies.,Switched to Signal because of their…,1,DE
2020-09-18,Julia,"I downloaded WhatsApp to join a volunteer group.
We have one chat group where we’ve had a few discussions. We’ll go for a week or two without chatting at all, and then chat for maybe a day or so.
A few days ago when we were chatting I received a video in a foreign language from someone I had never heard of. I asked the others on the chat if they had received it and they had not. 
Apparently a person I never heard of was able to send me a video from another country with no explanation.
I checked my WhatsApp privacy settings and they were all set to Everyone and automatic download. Apparently this made it possible for a total stranger to send a video that was automatically downloaded into my camera roll.
This is extremely careless of WhatsApp! Are they trying to facilitate viruses and stalking? I am so accustomed to programs having reasonable security settings, I never thought of checking them. I’m lucky there were no viruses in the video message, and I’ll never fully trust WhatsApp again.",Change your privacy settings right away,2,US
2024-02-07,Consumer,"I tried to get help and support from WhatsApp to recover my WhatsApp chat from iCloud but they just don't bother to help! 

If WhatsApp has feature to backup chat into iCloud protected by password then it must allow to recover forgotten password!!  WhatsApp support centre is a complete failure to help and they don't talk over the phone just email a link go through it , and its all useless!
Even they asked some screenshots of the issue but still nothing they have done! I am at last attempt and if entered a wrong password then the data will be lost!! so disappointing and unprofessional services from WhatsApp",Recover WhatsApp backup from icloud,1,GB
2020-06-09,Zoi Pachis,"Amazing app!
i cant imagine my work and private life without it anymore
So useful",Amazing app!,5,GR
2023-07-31,Misbah Rashid Usman,No Doubt everyone likes to use this app and there services are Soo quick and fast ☺️💕.I really like it's,No Doubt everyone likes to use this app…,4,PK
2022-06-13,Sara Skinner,TOTALLY UNHAPPY WITH THEIR RESPONSE. SOMEBODY TOOK ONE OF MY PHOTOS AND CONTACTED FRIENDS/RELATIVES TO REQUEST MONEY. THEY IMPERSONATED ME. WHAT DID WHATS APP DO? THEY SENT ME AUTOMATIC REPLIES AND THEN CLOSED MY CHAT,TOTALLY UNHAPPY WITH THEIR RESPONSE,1,KZ
2022-02-03,Gary,"Terrible customer service, and behind the times application. If you're a new user do NOT go with WhatsApp, use telegram instead where the feature set is better. WhatsApp will do whatever they can to hold your chats hostage on an operating system and will not let you transfer across devices. Do not use. Also when you try to get advice from customer service, they use an automated chat to respond which never answers your actual question. I wish I hadn't used WhatsApp as now I have my chats from loved ones stuck there, and unable to move them to a new £1300 iPhone 13 pro that's been sat in the cupboard since November last year waiting for an update on chat migrations. Their service and features, as well as customer service, is not good enough.",Terrible customer service,1,GB
2019-09-23,Natasha Addicted to Art,People can add you to groups without permission and then blocked contacts can interact with you. They should still be blocked in the groups or you should be able to refuse to be added to a group,Whatsapp - People can add you to groups without…,1,ZA
2023-01-01,Disappointed customer,"Poor customer service!!.. 
Big issues or small all felt by computers with a standard reply !.. they can not solve complex problems as it seems there is no real technical team !! 
My what’s app has not backed up since 2021 and I have reported this so many times 
Now I need a new phone nothing will get transferred 
Most are just casual chats so not bothered  but there are things that I need to keep !! 
I just keep getting the same message to solve problems 
Then they make it difficult to post a revive like this on their site 😣",Poor customer service!!.,2,GB
2023-06-10,Mahsa Aryaei Parsa,"Lots of features missing
Pleased dont show the deleted messages",Lots of features missing,3,GB
2023-12-03,Veeru Sonkar,Nonononono,9315068468,5,IN
2020-08-29,Grace Petrie,"I was asked to use this app as a means of communication with a group of friends. I went to check for new messages only to be told that my account/ phone number is invalid and therefore blocked. I tried to go through their support line. I was told I was in violation of their terms of agreement and they have multiple complaints about my account. I only have their app on my kindle which I linked to my phone. I truly have done nothing wrong and am very disappointed that I can't use it on my device. I don't want it on my phone. I have used my mobile Windows devices and my phone number for other web-based call apps for several years. 
I know that I have not violated any of their ""Terms of agreement"" and am disappointed on how disgracefully they have responded to my request to unblock my very valid phone number.",I was asked to use this app as a means…,1,US
2023-03-21,haissam mahmoud,I hope it closes.,I hope it closes.,1,TR
2022-02-24,Dave A,"I remain to be convinced of privacy and the desktop version sucks big time.

I've gone over to mewe.com
No commie censors there!",Privacy…?,2,GB
2022-03-09,Debra Green,WhatsApp is a disgrace. We have porn on our group and even the Admin can’t remove it. Lots of people have left. Their complaints procedure is a joke. You just get a copy and pasted general message not addressing your complaint at all.,WhatsApp is a disgrace,1,GB
2023-06-14,hossam fathi,"I have been communicating with support for the past couple of days, they're always misunderstanding my issue constantly, sometimes they answer a question that isn't vaguely similar to the one I asked. It's so frustrating.",I have been communicating with support for 3 times every time they close my case. this is unfair,1,EG
2023-02-27,Piyush Singh,"Too bad i can even give negative star rating if there is an option

Their stupid customer support is horrible i asked many time the same thing they are not helping me at all tried to mail them tried to contact them on whatsapp all went just upseen these stupid people and meta players just want your data and they don't want to provide any support",They must be shut down,1,IN
2023-07-15,Aatif Samejo,The app is literally praise worthy as it is easy and fast .,The app is literally praise worthy as…,5,PK
2023-06-30,DarioG,"Changed phone, deinstalled WA, reinstalled on new phone with old SIM... code received as usual BUT now it wants a PIN, a 2-way authentication... which I never provided - and I never provided an email as well.
Even funnier, the message says ""if you did not set up an email and pin, in 3 days you will be able to skip this request""
...

what... the hell... is going on... in your seriously damaged brains?","Changed phone, it's asking for non-existent email",2,GB
2021-01-17,E K,Owned by Fakebook. There are better and safer communication platforms. Signal and telegram.,Owned by Fakebook,1,US
2021-06-13,Steve,"Customer service is the worst I have come across in a long time, I have an issue with notifications not getting pushed through after updating legion phone to android 11 1st attempt to contact who ever it was said to re-report the issue so it would pass to another customer service drone 2nd attempt got asked to video and screen shot the issue describe problem send logs I did this multiple times multiple videos multiple screen shots took screen recordings of settings and the issue in real time I added everything in detail and sent everything they asked for to be told ""we don't have enough information"" can you send the exact information I've already sent them. They clearly are not interested in helping there customers whatso ever I have now been ignored for the last week I've sent an email each day asking for a response and a supvisor to contact me back or to give me contact details to make a formal complaint against them still get blanked. They are shockingly poor I've now had enough and getting everyone I know to swap to signal I'd advise everyone else to do the same. I've also posted a lengthy post to their Facebook page through a friends account. I refuse to sign up with Facebook but WhatsApp need publicly shaming for their abismal customer service I will continue to send email each day until I get help or an answer
MAIN THING AVOID AVOID AVOID",Customer service is the worst I have…,1,GB
2020-12-12,Jonathan Roberts,Very disappointed with 2 pin verification. Don't understand why they've made it so difficult to reset. Had new phone. Forgot pin. Tried resetting through email. No joy. What a load of rubbish. Got to wait 6 days to try and reset. They having a laugh. All my other apps no problems.,Very disappointed with 2 pin…,1,GB
2021-02-27,victor sqlhost,"Support sucks, my WhatsApp account got hacked and have sent several tickets to WhatsApp official support email, totally irrelevant reply that cannot solve the problem, has been more than one week now and the problem remains unsolved.",Support sucks,1,HK
2019-01-21,Powerful spells caster,"Powerful spells caster, psychic reading, palmistry, money spells, lotto spells lottery spells, love spells
*Protection Spells *Remove Negative Energy *Removing Curse Spells. *Spiritual Cleansing, *Financial spells *Spiritual Healing 
*Voodoo Spells, *Good Luck Charm *Powerful Magical Love Spells, 
*Break Up Spells *Gay Love Spells 
The Spell To Defeat Your Rival, Fertility Spells, Divorce Spells, Marriage Spells, 
change your love situation contact us for help about your husband or ex-boyfriend, 
Bind Us Together, Change Your Love situation
+27633429794
Lost love spells caster in Johannesburg",Powerful spells caster,5,ZA
2023-09-21,MIGUEL,"It is, in fact, their assistance. 
Read questions infrequently. 
Merely making standard answers of waiting where they discourage users.",Assistance,1,FR
2024-04-23,Ralf Beswick,"The actual service is great mostly. However, if you have any problems, which you likely will eventually, there is zero customer support. The only help they seem to offer is an online Faq page. No phone number, no email, just an in-app automated chat which will always end up directing you to the faq page, even if you specifically tell them you problem isn't solved there.",Non-existient customer support.,2,GB
2018-09-30,Karla | EpicMusic Ltd,really easy to use and very good features. Especially enjoy using the 'whatsapp web' feature which is super easy.,really easy to use and very good…,5,US
2023-08-05,Miss NJ,New layout is naff . It was better before & easier   Why change it when it was fine,New layout is naff,2,GB
2023-07-22,Client,"Completely useless customer support. Would be a lot better if they don’t offer it as it just frustrates more the users.
Keep suggesting unrelated fix suggestions and closing the case where the problem was very clearly described in the support request and it is evident that no human is reading it…

One of the ticket numbers for reference in case anyone from whatsup cares: 1205117500162032
0 stars for support",Useless customer support,1,BE
2023-05-25,Chloe Heenan,"Even giving 1 star is a push. 
Possibly the most infuriating customer service I have experienced. 
It is a broken bot that does absolutely nothing to help or answer the question being asked. 
You would think this platform would have better service.",Even giving 1 star is a push,1,NL
2018-02-08,Michael Lie,"the customer service did not even bother to read the problems i have in using the app, it immediately give me an automated message and direct me to the faqs, 

Good work there, sure, keep it up, just continue on assuming all your customers are idiot that can't even read and check the FAQS",the customer service did not even …,1,ID
2021-05-01,Andrew Stark,"Cant make call
Cant make a video call
Cant open the PC app
Cant use the web version
Cant share messages
All messages removed everywhere when you reinstall this crap on any device. Whole data wipe.

This app is a piece of sh**, Telegram is 100000% better.",Best crap app ever,1,UA
2023-04-26,Rachel,Same as others - I’m disgusted with them actually but reliant on the app,Same as others,1,GB
2021-04-08,Giacomo,It is unacceptable that there are no iPad and no Apple Watch apps. It is the number one messaging app in the world! come on,No iPad and no Apple Watch apps,1,IT
2014-03-27,Tony Johnson,"It's a part of life of many people now, including me. The best way to send pictures, videos, emoticons etc. to your family or friends. 
Thanks for making this possible.",part of life!,5,AT
2017-09-13,Klahan Kulap,Awesome app. Great way to keep in touch with your real friends. Only problem is that it can take a large portion of your day!,Awesome app,5,GB
2024-01-20,Afshii,"I m just missing one thing in android u cant listen the voice msg if you are out of the whatsapp box. This function has iphone and its really good because sometime u read the msgs of someone and u can reply them whitout coming online, but u have to go online to listen the voice msg thats a minus point of the android. They should change this funtion it would be very nice.",Missing voice msg funtion,4,NL
2020-07-10,Alexis P.,"I like it. It's easy-to-use, has a bunch of cool features like GIFs. I like that I can star messages and go back to them when needed. The quality of calls isn't always ideal, but it could be my provider's fault. But I still prefer WhatsApp over any other messenger.",It's wonderful,5,GB
2018-02-13,Roopam Darshan Sharma,"Down right now
Can u please do something",Down right now,3,IN
2018-03-31,Shelby ,"Truly a frustrating and out dated application. Stop tethering this app to our phone numbers, and get a team of customer service representatives that are actually helpful. Honestly so disgusted by them.",Truly a frustrating and out dated…,1,US
2021-02-17,Syed Rizvi,"Since I'am using this application it's very easy to connect with my family, friend and office colleges. voice and video calling facility in application is one of the best features. Through my Status i can share my stories or place I visit and it appears only for 24 hours. Group creation is one feature which help you to build your contact for business.
only group members limit is one issue that by may consider to improve.",Best Application of Communication,5,PK
2020-11-24,Franzi S.,"I don't really understand the negative comments about the app to be honest. I only ever had good experiences with it and I especially like that I can use the desktop app, so I don't have to always grab my phone when I get a message",I don't really understand the negative reviews,5,DE
2021-07-14,NFA,Dictator censorship,Dictator censorship,1,BE
2023-02-10,Jamie edwards,Why is it not compatible with iPad 7.,Not available on iPad,1,GB
2024-05-13,R E Broadley,"Closed my account without warning claiming i was spamming which was not true whatsoever. 

Loat all access to chats and chat history. Doesn't let my contacts know my account is closed so it just looks like I am ignoring everyone now.",Closed my account without warning…,1,GB
2022-11-18,Oti Onwukah,"After updating my WhatsApp, once every week, the app tells me that i am on a temporary ban from using whatsapp for a minimum of 6-8 hours which can be very frustrating. Can you fix this issue. This morning i have been in a gym and hardly used the app, but now it has gone into a temporary ban mode again. This app is becoming rubbish to say the least. Kindly fix this or go back to previous stable versions. To make matters worst the C. Service never replies back. Just happened again barely 24 hours and it is now happening every day. You can check my account to see what i am complaining about.",Worst customer services in the world,1,NG
